system:index,B11_t27,B12_t27,B2_t27,B3_t27,B4_t27,B5_t27,B6_t27,B7_t27,B8A_t27,B8_t27,class,class_name,zone,.geo
3690_0,2375.0,1691.0,593.0,658.0,754.0,944.5,1026.0,1140.5,1324.5,1193.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.27107408047183,35.75609241145138]}"
3692_0,2330.0,1539.0,479.0,618.0,698.0,999.0,1194.0,1390.0,1659.0,1462.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.33269850896242,35.64200637036819]}"
3693_0,3407.0,2397.0,712.0,807.0,1007.0,1267.0,1422.0,1552.0,1865.0,1636.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.50463605434291,35.461624661316996]}"
3696_0,2991.0,2195.0,704.0,824.0,965.0,1193.0,1386.0,1520.0,1789.0,1598.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.49277829259253,35.51013368665945]}"
3697_0,2615.0,1716.5,908.5,1139.0,1192.0,1849.5,2310.5,2548.0,2763.5,2423.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.72148936392936,35.73561082297345]}"
3698_0,3644.0,2756.0,1817.0,1913.0,2122.0,2361.0,2531.0,2651.0,2831.5,2611.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.24035169775495,35.52037448089841]}"
3699_0,2607.5,1955.5,562.0,705.0,838.5,1083.0,1203.5,1327.0,1536.0,1425.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.75382871415766,35.553791809467654]}"
3700_0,2504.5,1549.5,578.0,918.0,846.5,1606.5,2120.5,2330.5,2682.0,2429.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.24286698055047,35.672549090028255]}"
3701_0,3587.0,2766.0,918.0,1108.0,1422.0,1740.0,1827.0,1964.0,2206.0,1944.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.32389501917805,35.78214355469084]}"
3702_0,2361.0,1280.0,475.5,905.0,670.0,1589.5,2704.0,3053.5,3486.5,3152.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.74089297406634,35.73058025738238]}"
3703_0,2375.0,1542.0,680.0,812.0,930.0,1190.0,1409.0,1474.0,1649.0,1458.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.61027793175536,35.46413994411253]}"
3704_0,2618.5,1858.5,591.5,789.0,886.0,1225.5,1486.0,1634.5,1906.5,1717.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.29191499506341,35.586310822752786]}"
3705_0,1887.5,1029.5,482.0,788.0,612.0,1240.0,2197.0,2470.5,2730.5,2513.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.7638898453398,35.49863525102272]}"
3706_0,4365.5,3318.5,2212.0,2237.0,2388.0,2787.5,3044.5,3224.5,3510.0,3274.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.22040909844749,35.453899149873564]}"
3707_0,3456.0,2703.0,886.0,1064.0,1366.0,1652.0,1731.0,1842.0,2045.0,1826.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.3287459217123,35.783401196088604]}"
3708_0,2552.0,1795.0,573.0,728.0,906.0,1119.0,1315.0,1481.0,1766.0,1594.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.32856625865548,35.56115799479744]}"
3709_0,2133.0,1156.0,432.5,822.5,567.0,1473.5,2400.5,2667.5,3060.0,3018.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.77305266123781,35.65763705631188]}"
3710_0,1670.0,1026.0,495.0,679.5,748.0,1142.5,1348.0,1527.5,1769.0,1617.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.77323232429464,35.54391034134234]}"
3711_0,1960.0,1387.0,590.0,690.0,766.0,978.0,1074.0,1150.0,1311.0,1180.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.79353424971575,35.70039686383596]}"
3712_0,2995.5,2455.0,811.0,961.0,1160.0,1400.5,1507.5,1593.5,1794.5,1629.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.27394868938102,35.531154264307844]}"
3714_0,2698.5,1785.5,556.0,689.5,830.0,1126.5,1571.0,1903.0,2220.0,1731.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.21807347870877,35.67793898173297]}"
3715_0,2688.0,2085.5,619.5,710.5,864.0,1055.5,1170.5,1272.0,1463.5,1303.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.2558027206418,35.73614981214392]}"
3716_0,3867.0,2700.0,879.0,1042.0,1356.0,1658.0,2033.0,2296.0,2585.0,2138.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.40366541640788,35.544988319683284]}"
3717_0,1795.0,1191.0,514.0,577.0,710.0,880.0,939.0,1037.0,1233.0,1102.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.6038100617097,35.48084860839715]}"
3718_0,3140.0,2439.5,1049.5,1203.0,1384.0,1634.0,1751.5,1845.0,2040.5,1945.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.27897925497209,35.65242682766398]}"
3719_0,1612.0,946.0,592.0,666.0,706.0,964.0,1165.0,1265.0,1498.0,1394.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.50661234796797,35.49073007652247]}"
3720_0,2797.0,2071.0,700.0,794.0,956.0,1179.0,1299.0,1422.0,1641.0,1428.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.6489054889725,35.47150612944231]}"
3721_0,3778.0,2923.0,878.0,1064.0,1422.0,1672.0,1778.0,1925.0,2201.0,1978.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.3459935751674,35.74153970384864]}"
3723_0,1642.0,1099.5,528.0,741.0,742.0,1040.0,1429.5,1510.5,1703.5,1942.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.77341198735147,35.46647556385124]}"
3724_0,2839.0,2300.0,602.0,650.0,884.0,1063.0,1142.0,1283.0,1467.0,1332.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.58278948406131,35.725010702620835]}"
3726_0,2125.0,1129.0,521.0,1084.0,848.0,2013.0,3111.0,3465.0,3756.0,3472.0,5,Soybeans,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-90.60650500756206,35.74495330192829]}"
